STATUS | wrapper  | 2017/07/29 18:08:13 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2017/07/29 18:08:13 | Launching a JVM...
INFO   | jvm 1    | 2017/07/29 18:08:18 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2017/07/29 18:08:18 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2017/07/29 18:08:18 | 
INFO   | jvm 1    | 2017/07/29 18:08:18 | 
INFO   | jvm 1    | 2017/07/29 18:08:18 | WARNING - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2017/07/29 18:08:18 |           following files:
INFO   | jvm 1    | 2017/07/29 18:08:18 |             libwrapper-macosx-x86-64.dylib
INFO   | jvm 1    | 2017/07/29 18:08:18 |             libwrapper-macosx-universal-64.dylib
INFO   | jvm 1    | 2017/07/29 18:08:18 |             libwrapper.dylib
INFO   | jvm 1    | 2017/07/29 18:08:18 |           could be located on the following java.library.path:
INFO   | jvm 1    | 2017/07/29 18:08:18 |             /Users/huangchaobo/Downloads/apache-activemq-5.15.0/bin/macosx/../../bin/macosx
INFO   | jvm 1    | 2017/07/29 18:08:18 |           Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2017/07/29 18:08:18 |           configuration property.
INFO   | jvm 1    | 2017/07/29 18:08:18 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2017/07/29 18:08:18 | 
INFO   | jvm 1    | 2017/07/29 18:08:18 | Java Runtime: Oracle Corporation 1.8.0_111 /Library/Java/JavaVirtualMachines/jdk1.8.0_111.jdk/Contents/Home/jre
INFO   | jvm 1    | 2017/07/29 18:08:18 |   Heap sizes: current=251392k  free=238284k  max=932352k
INFO   | jvm 1    | 2017/07/29 18:08:18 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/macosx/ -Dwrapper.key=Xc0pYmm11MRgVONZ -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=8472 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.service=TRUE -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2017/07/29 18:08:18 | Extensions classpath:
INFO   | jvm 1    | 2017/07/29 18:08:18 |   [../../lib,../../lib/camel,../../lib/optional,../../lib/web,../../lib/extra]
INFO   | jvm 1    | 2017/07/29 18:08:18 | ACTIVEMQ_HOME: ../..
INFO   | jvm 1    | 2017/07/29 18:08:18 | ACTIVEMQ_BASE: ../..
INFO   | jvm 1    | 2017/07/29 18:08:18 | ACTIVEMQ_CONF: ../../conf
INFO   | jvm 1    | 2017/07/29 18:08:18 | ACTIVEMQ_DATA: ../../data
INFO   | jvm 1    | 2017/07/29 18:08:19 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2017/07/29 18:08:19 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@8e17718: startup date [Sat Jul 29 18:08:18 CST 2017]; root of context hierarchy
INFO   | jvm 1    | 2017/07/29 18:08:29 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/huangchaobo/Downloads/apache-activemq-5.15.0/bin/macosx/../../data/kahadb]
INFO   | jvm 1    | 2017/07/29 18:08:30 |  INFO | PListStore:[/Users/huangchaobo/Downloads/apache-activemq-5.15.0/bin/macosx/../../data/localhost/tmp_storage] started
INFO   | jvm 1    | 2017/07/29 18:08:35 |  INFO | Apache ActiveMQ 5.15.0 (localhost, ID:huangchaobodeMacBook-Pro.local-51142-1501322915072-0:1) is starting
INFO   | jvm 1    | 2017/07/29 18:08:40 |  INFO | Listening for connections at: tcp://huangchaobodeMacBook-Pro.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/07/29 18:08:40 |  INFO | Connector openwire started
INFO   | jvm 1    | 2017/07/29 18:08:45 |  INFO | Listening for connections at: amqp://huangchaobodeMacBook-Pro.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/07/29 18:08:45 |  INFO | Connector amqp started
INFO   | jvm 1    | 2017/07/29 18:08:50 |  INFO | Listening for connections at: stomp://huangchaobodeMacBook-Pro.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/07/29 18:08:50 |  INFO | Connector stomp started
INFO   | jvm 1    | 2017/07/29 18:08:55 |  INFO | Listening for connections at: mqtt://huangchaobodeMacBook-Pro.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/07/29 18:08:55 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2017/07/29 18:09:00 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@2ba3916c{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2017/07/29 18:09:00 |  INFO | Listening for connections at ws://huangchaobodeMacBook-Pro.local:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2017/07/29 18:09:00 |  INFO | Connector ws started
INFO   | jvm 1    | 2017/07/29 18:09:00 |  INFO | Apache ActiveMQ 5.15.0 (localhost, ID:huangchaobodeMacBook-Pro.local-51142-1501322915072-0:1) started
INFO   | jvm 1    | 2017/07/29 18:09:00 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2017/07/29 18:09:01 |  INFO | No Spring WebApplicationInitializer types detected on classpath
INFO   | jvm 1    | 2017/07/29 18:09:01 |  INFO | ActiveMQ WebConsole available at http://0.0.0.0:8161/
INFO   | jvm 1    | 2017/07/29 18:09:01 |  INFO | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/
INFO   | jvm 1    | 2017/07/29 18:09:01 |  INFO | Initializing Spring FrameworkServlet 'dispatcher'
